"ids";"notes"
"9999";NA
"1010";NA
"1011";NA
"1012";NA
"1013";NA
"1014";NA
"1019";NA
"1015";NA
"1016";NA
"1017";NA
"1018";NA
"1020";NA
"1024";NA
"1074";NA
"1075";NA
"1076";NA
"1077";NA
"1851";NA
"1502";NA
"1503";NA
"1504";NA
"1507";NA
"1505";NA
"1506";NA
"1508";NA
"1509";NA
"1510";NA
"1511";NA
"1512";NA
"1514";NA
"1710";NA
"1035";NA
"1036";NA
"1037";NA
"1038";NA
"1039";NA
"1040";NA
"1711";NA
"1517";NA
"1518";NA
"1519";NA
"1520";NA
"1715";NA
"1046";NA
"1047";NA
"1048";NA
"1049";NA
"1050";NA
"1712";NA
"1053";NA
"1054";NA
"1055";NA
"1056";NA
"1059";NA
"1060";NA
"1061";NA
"1062";NA
"1063";NA
"1057";NA
"1058";NA
"1066";NA
"1067";NA
"1713";NA
"1064";NA
"1065";NA
"1714";NA
"9206";NA
"9207";NA
"9204";NA
"9200";NA
"9201";NA
"9202";NA
"9203";NA
"9205";NA
"9208";NA
"9209";NA
"9210";NA
"9211";NA
"9212";NA
"9213";NA
"9214";NA
"9215";NA
"9216";NA
"9217";NA
"9218";NA
"9219";NA
"9220";NA
"9221";NA
"9222";NA
"9223";NA
"9224";NA
"9225";NA
"9226";NA
"9227";NA
"9228";NA
"9229";NA
"9230";NA
"9231";NA
"9232";NA
"9233";NA
"5177";NA
"5178";NA
"5179";NA
"1716";NA
"5183";NA
"5184";NA
"5185";NA
"5186";NA
"5187";NA
"5188";NA
"5189";NA
"5190";NA
"5191";NA
"5192";NA
"5193";NA
"5194";NA
"5195";NA
"5196";NA
"5197";NA
"5198";NA
"5199";NA
"5200";NA
"5201";NA
"5202";NA
"5203";NA
"5204";NA
"5205";NA
"5206";NA
"5208";NA
"1717";NA
"5210";NA
"5211";NA
"5212";NA
"5213";NA
"5214";NA
"5215";NA
"5216";NA
"5217";NA
"5218";NA
"5222";NA
"5219";NA
"5220";NA
"5221";NA
"5240";NA
"5241";NA
"5224";NA
"5229";NA
"5230";NA
"5231";NA
"5233";NA
"5232";NA
"5234";NA
"1718";NA
"5237";NA
"5238";NA
"2001";NA
"2002";NA
"2004";NA
"1719";NA
"2006";NA
"2007";NA
"2010";NA
"2014";NA
"2121";NA
"2093";NA
"2018";NA
"1853";NA
"2022";NA
"2023";NA
"2024";NA
"2025";NA
"2028";NA
"2122";NA
"2032";NA
"2029";NA
"2033";NA
"2123";NA
"2040";NA
"2034";NA
"2042";NA
"1720";NA
"2045";NA
"2047";NA
"2052";NA
"2048";NA
"2049";NA
"2050";NA
"2051";NA
"2053";NA
"2062";NA
"1721";NA
"2058";NA
"2063";NA
"2059";NA
"1722";NA
"2064";NA
"2066";NA
"2068";NA
"1723";NA
"2072";NA
"1724";NA
"2124";NA
"2075";NA
"2076";NA
"2077";NA
"2078";NA
"2079";NA
"1725";NA
"2082";NA
"2083";NA
"1726";NA
"2086";NA
"1727";NA
"2089";NA
"2090";NA
"1728";NA
"2126";NA
"2094";NA
"1729";NA
"1730";NA
"2128";NA
"2100";NA
"2101";NA
"2102";NA
"2104";NA
"2105";NA
"2106";NA
"1731";NA
"2109";NA
"2111";NA
"1732";NA
"2129";NA
"2114";NA
"2115";NA
"1733";"ISCO 2151/3113 bzw. 2152/3114 wird im ISCO-Baum aufgrund der Abhängigkeit von beiden Folgefragen nicht angezeigt."
"2118";NA
"1734";NA
"2131";NA
"1735";NA
"2134";NA
"1736";NA
"2139";NA
"2130";NA
"2143";NA
"2144";NA
"2145";NA
"2146";NA
"1737";NA
"2149";NA
"2150";NA
"2151";NA
"2152";NA
"2154";NA
"2157";NA
"2158";NA
"2159";NA
"2160";NA
"1738";NA
"2155";NA
"9029";NA
"9030";NA
"1739";NA
"9035";NA
"1740";NA
"9010";NA
"9014";NA
"9013";NA
"9020";NA
"9021";NA
"9051";NA
"8999";NA
"1741";NA
"9026";NA
"9094";NA
"9045";NA
"9089";NA
"9046";NA
"9110";NA
"9504";NA
"9048";NA
"1742";NA
"9092";NA
"9039";NA
"9052";NA
"9505";NA
"9002";NA
"9003";NA
"9053";NA
"9506";NA
"9054";NA
"9055";NA
"9015";NA
"9016";NA
"9018";NA
"9019";NA
"9008";NA
"9009";NA
"9023";NA
"9024";NA
"9006";NA
"9004";NA
"9007";NA
"9005";NA
"9041";NA
"9096";NA
"9097";NA
"9061";NA
"9086";NA
"9087";NA
"9062";NA
"9063";NA
"9064";NA
"9065";NA
"9066";NA
"9067";NA
"9090";NA
"9068";NA
"9069";NA
"9070";NA
"9071";NA
"9072";NA
"9113";NA
"9040";NA
"9049";NA
"9047";NA
"9076";NA
"9077";NA
"9078";NA
"9079";NA
"9088";NA
"1775";NA
"5351";NA
"5246";NA
"5252";NA
"5279";NA
"1776";NA
"5403";NA
"5280";NA
"1777";NA
"5281";NA
"5254";NA
"5255";NA
"5402";NA
"5257";NA
"5260";NA
"5261";NA
"1854";NA
"5350";NA
"1778";NA
"5282";NA
"5262";NA
"5263";NA
"5264";NA
"5283";NA
"5265";NA
"5401";NA
"5284";NA
"5400";NA
"9401";NA
"1779";NA
"5285";NA
"5268";NA
"1780";NA
"5271";NA
"5272";NA
"5286";NA
"5274";NA
"5275";NA
"5276";NA
"5277";NA
"5278";NA
"1781";NA
"5301";NA
"5298";NA
"5287";NA
"5288";NA
"5289";NA
"5273";NA
"5302";NA
"3001";NA
"3023";NA
"5303";NA
"5304";NA
"5305";NA
"3024";NA
"5311";NA
"5312";NA
"5313";NA
"5314";NA
"5315";NA
"5316";NA
"5317";NA
"3013";NA
"5292";NA
"5318";NA
"5293";NA
"3017";NA
"3010";NA
"5319";NA
"1782";NA
"5322";NA
"5323";NA
"5324";NA
"5325";NA
"5326";NA
"5327";NA
"5297";NA
"5328";NA
"5329";NA
"5330";NA
"5331";NA
"5294";NA
"1783";NA
"5332";NA
"5333";NA
"1784";NA
"1856";NA
"5337";NA
"1785";NA
"5295";NA
"1786";NA
"1787";NA
"5345";NA
"5346";NA
"5355";NA
"5356";NA
"5357";NA
"5358";NA
"1788";NA
"4202";NA
"4203";NA
"4204";NA
"4205";NA
"4206";NA
"4001";NA
"4002";NA
"4003";NA
"4999";NA
"4004";NA
"4005";NA
"4006";NA
"4007";NA
"4008";NA
"4210";NA
"4212";NA
"4213";NA
"4214";NA
"4009";NA
"4012";NA
"4013";NA
"4014";NA
"4015";NA
"4016";NA
"4219";NA
"4017";NA
"4018";NA
"4019";NA
"4022";NA
"4025";NA
"4224";NA
"4225";NA
"4226";NA
"4227";NA
"4228";NA
"4229";NA
"4230";NA
"4231";NA
"4028";NA
"4100";NA
"4029";NA
"4030";NA
"4234";NA
"4237";NA
"4239";NA
"4240";NA
"4254";NA
"4255";NA
"4242";NA
"4243";NA
"4700";NA
"4246";NA
"4248";NA
"4249";NA
"4038";"halboffene Folgefrage macht technische Schwierigkeiten"
"4035";"halboffene Folgefrage macht technische Schwierigkeiten"
"4037";"halboffene Folgefrage macht technische Schwierigkeiten"
"4040";"halboffene Folgefrage macht technische Schwierigkeiten"
"4041";"halboffene Folgefrage macht technische Schwierigkeiten"
"4042";"halboffene Folgefrage macht technische Schwierigkeiten"
"4043";"halboffene Folgefrage macht technische Schwierigkeiten"
"4250";NA
"4046";NA
"4047";NA
"4048";"halboffene Folgefrage macht technische Schwierigkeiten"
"4049";NA
"4251";NA
"4052";NA
"4053";NA
"4054";NA
"4055";NA
"4056";NA
"4252";NA
"4061";NA
"4062";NA
"4253";NA
"5099";NA
"5100";NA
"5101";NA
"5102";NA
"5105";NA
"5040";NA
"5107";NA
"5108";NA
"5109";NA
"5114";NA
"5001";NA
"5012";NA
"5013";NA
"5002";NA
"5028";NA
"5005";NA
"1005";NA
"1006";NA
"5115";NA
"5116";NA
"1000";NA
"1001";NA
"5117";NA
"5118";NA
"5010";NA
"5011";NA
"5014";NA
"5015";NA
"5016";NA
"5017";NA
"5018";NA
"5022";NA
"5023";NA
"5024";NA
"5025";NA
"5026";NA
"5029";NA
"5031";NA
"5030";NA
"9900";NA
"5035";NA
"5036";NA
"5037";NA
"5038";NA
"5039";NA
"5041";NA
"5042";NA
"5043";NA
"5044";NA
"5045";NA
"5171";NA
"5172";NA
"5046";NA
"5047";NA
"5049";NA
"5050";NA
"5051";NA
"5052";NA
"5053";NA
"5054";NA
"5055";NA
"5056";NA
"5057";NA
"5058";NA
"5059";NA
"5060";NA
"5173";NA
"5061";NA
"5062";NA
"5063";NA
"5064";NA
"5065";NA
"5067";NA
"5068";NA
"5069";NA
"5070";NA
"5071";NA
"5072";NA
"5073";NA
"5074";NA
"5075";NA
"5076";NA
"5077";NA
"5078";NA
"5079";NA
"5174";NA
"5080";NA
"5081";NA
"5082";NA
"5175";NA
"8083";NA
"5084";NA
"5085";NA
"5176";NA
"5086";NA
"5087";NA
"5088";NA
"5089";NA
"5090";NA
"5225";NA
"5226";NA
"5227";NA
"5223";NA
"5092";NA
"5093";NA
"5094";NA
"5095";NA
"5096";NA
"5097";NA
"5098";NA
"1004";NA
"6001";NA
"6002";NA
"6003";NA
"6009";NA
"6010";NA
"6006";NA
"6007";NA
"6008";NA
"6011";NA
"6012";NA
"6022";NA
"6058";NA
"6018";NA
"6019";NA
"6017";NA
"6033";NA
"6030";NA
"6060";NA
"6029";NA
"6061";NA
"6078";NA
"6079";NA
"6041";NA
"6063";NA
"6064";NA
"6080";NA
"6081";NA
"6015";NA
"6013";NA
"6065";NA
"6082";NA
"6066";NA
"6101";NA
"6034";NA
"6052";NA
"6035";NA
"6038";NA
"6085";NA
"6037";NA
"6039";NA
"6040";NA
"6086";NA
"6042";NA
"6043";NA
"6044";NA
"6047";NA
"6048";NA
"6053";NA
"6068";NA
"6067";NA
"6049";NA
"6050";NA
"6051";NA
"6020";NA
"6054";NA
"6077";NA
"6083";NA
"6070";NA
"6021";NA
"6055";NA
"6056";NA
"6057";NA
"6074";NA
"6075";NA
"6090";NA
"6071";NA
"6072";NA
"6092";NA
"6093";NA
"6094";NA
"6095";NA
"6097";NA
"6073";NA
"6098";NA
"6099";NA
"6100";NA
"6102";NA
"3594";NA
"3595";NA
"3596";NA
"3597";NA
"3598";NA
"3599";NA
"3567";NA
"3582";NA
"3577";NA
"3584";NA
"3585";NA
"3578";NA
"3586";NA
"3568";NA
"3590";NA
"3591";NA
"3593";NA
"3569";NA
"3580";NA
"3573";NA
"3581";NA
"3570";NA
"3587";NA
"3529";NA
"3531";NA
"3530";NA
"3539";NA
"3532";NA
"3533";NA
"3534";NA
"3537";NA
"3545";NA
"3550";NA
"3546";NA
"3544";NA
"3542";NA
"7003";NA
"7005";NA
"3547";NA
"3551";NA
"3552";NA
"3540";NA
"3541";NA
"3543";NA
"3553";NA
"3560";NA
"3555";NA
"3556";NA
"3557";NA
"3201";NA
"3202";NA
"3203";NA
"3204";NA
"3205";NA
"3206";NA
"3208";NA
"3209";NA
"3212";NA
"3213";NA
"3210";NA
"3211";NA
"3220";NA
"3221";NA
"3222";NA
"3219";NA
"3214";NA
"3215";NA
"3216";NA
"3217";NA
"3218";NA
"3223";NA
"7001";NA
"7002";NA
"7004";NA
"8001";NA
"7008";NA
"7024";NA
"7100";NA
"7009";NA
"7010";NA
"7011";NA
"7101";NA
"7012";NA
